,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year,Sighting Month
311,2014,45.8S,172.7W,26.1,13.4,0.4,-1.4,13.3,700000000000,1.7,2014,November
312,2014,18.8S,73.4W,38.0,,,,,55000000000,0.18,2014,November
313,2014,69.5S,179.7W,23.3,25.3,21.3,2.2,13.4,118000000000,0.35,2014,November
314,2014,68.2S,24.0W,37.0,19.9,-7.0,16.1,9.4,105000000000,0.32,2014,November
315,2014,43.1N,115.8E,22.2,16.0,-7.2,-12.1,-7.7,156000000000,0.45,2014,November
316,2014,22.2N,132.9W,,,,,,34000000000,0.12,2014,October
317,2014,4.6S,66.3W,39.0,,,,,72000000000,0.23,2014,October
318,2014,2.0S,119.2E,27.2,16.9,15.0,-6.9,-3.5,29000000000,0.1,2014,October
319,2014,43.7S,85.7E,,,,,,39000000000,0.13,2014,October
320,2014,3.2N,137.2E,32.5,,,,,28000000000,0.098,2014,September
321,2014,22.7N,150.0W,,,,,,35000000000,0.12,2014,September
322,2014,6.2S,49.9W,,,,,,26000000000,0.092,2014,August
323,2014,3.2N,45.4W,,,,,,34000000000,0.12,2014,August
324,2014,61.7S,132.6E,22.2,16.2,-2.3,5.7,16.5,3819000000000,7.6,2014,August
325,2014,49.2S,172.2W,,,,,,73000000000,0.23,2014,July
326,2014,33.9S,115.9W,,,,,,53000000000,0.17,2014,July
327,2014,18.9N,141.2E,26.3,12.4,12.0,3.5,-10.5,245000000000,0.67,2014,June
328,2014,71.5S,93.4E,28.5,11.2,7.0,2.9,8.3,61000000000,0.2,2014,June
329,2014,21.9N,131.1W,28.7,,,,,58000000000,0.19,2014,May
330,2014,39.4S,95.9W,30.8,18.0,2.9,13.4,-12.5,136000000000,0.4,2014,May
331,2014,44.2S,176.2W,44.0,16.5,14.4,4.6,6.5,309000000000,0.82,2014,May
332,2014,36.9S,87.3E,35.4,19.0,-2.0,-16.1,9.9,1050000000000,2.4,2014,May
333,2014,28.7S,121.5E,30.7,16.3,10.0,-12.7,2.2,39000000000,0.13,2014,March
334,2014,0.0N,111.8W,30.5,,,,,540000000000,1.3,2014,March
335,2014,29.0S,94.9W,,,,,,94000000000,0.29,2014,March
336,2014,32.8S,61.5W,,,,,,26000000000,0.092,2014,February
337,2014,13.3N,110.7W,25.0,,,,,630000000000,1.5,2014,February
338,2014,18.5S,141.8E,29.6,,,,,140000000000,0.41,2014,January
339,2014,2.9N,64.4E,37.0,16.2,-5.2,-15.1,2.6,78000000000,0.24,2014,January
340,2014,1.3S,147.6E,18.7,44.8,-3.4,-43.5,-10.3,31000000000,0.11,2014,January
341,2013,39.5N,2.0E,34.3,15.1,-1.1,11.4,-9.9,147000000000,0.43,2013,December
342,2013,32.8N,165.1W,23.5,11.8,2.3,2.5,-11.3,64000000000,0.2,2013,December
343,2013,44.7N,35.3E,59.3,12.4,-5.0,-11.0,-2.7,75000000000,0.23,2013,November
344,2013,19.1S,25.0W,22.2,12.8,-8.0,8.4,-5.5,1610000000000,3.5,2013,October
345,2013,,,,,,,,60000000000,0.19,2013,October
346,2013,10.3S,164.7W,40.7,,,,,160000000000,0.46,2013,September
347,2013,34.4S,118.2E,66.6,,,,,44000000000,0.15,2013,August
348,2013,,,,,,,,39000000000,0.13,2013,July
349,2013,31.8S,137.1E,29.1,17.8,17.7,-2.3,-0.1,69000000000,0.22,2013,July
350,2013,50.2S,90.2E,25.6,18.8,15.9,-8.6,5.1,390000000000,1.0,2013,July
351,2013,0.3N,156.2E,26.5,22.1,16.0,14.9,-3.3,120000000000,0.36,2013,July
352,2013,21.0N,178.5W,37.0,,,,,20000000000,0.073,2013,July
353,2013,,,,,,,,22000000000,0.079,2013,July
354,2013,,,,,,,,22000000000,0.079,2013,June
355,2013,65.6S,138.4E,28.9,,,,,34000000000,0.12,2013,June
356,2013,3.0S,76.4E,,,,,,20000000000,0.073,2013,May
357,2013,35.5N,30.7W,21.2,12.1,1.0,9.0,-8.0,5110000000000,10.0,2013,April
358,2013,28.1S,64.6W,40.7,14.9,5.0,14.0,1.0,1066000000000,2.5,2013,April
359,2013,32.7S,17.1E,26.0,,,,,29000000000,0.1,2013,March
360,2013,23.0S,38.8W,,13.6,-11.0,-8.0,-1.0,32000000000,0.1,2013,February
361,2013,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,375000000000000,440.0,2013,February
362,2013,18.8S,158.6W,,,,,,65000000000,0.21,2013,February
363,2013,60.3N,64.6W,,,,,,3400000000000,6.9,2013,January
364,2013,15.1S,155.6W,36.1,,,,,48000000000,0.16,2013,January
365,2012,17.3N,83.6W,,,,,,198000000000,0.55,2012,December
366,2012,,,,,,,,27000000000,0.095,2012,December
367,2012,2.5N,29.6E,33.3,14.3,-12.2,-5.3,5.3,25000000000,0.089,2012,November
368,2012,8.0S,86.0W,,,,,,120000000000,0.36,2012,November
369,2012,,,,,,,,30000000000,0.1,2012,October
370,2012,75.4S,49.6E,29.3,13.2,-2.3,-3.9,12.4,23000000000,0.082,2012,October
371,2012,51.2N,84.6W,27.8,13.5,3.4,12.0,5.1,210000000000,0.58,2012,October
372,2012,41.5S,21.9W,,17.0,-2.4,5.5,15.9,280000000000,0.75,2012,October
373,2012,8.1S,111.9W,35.0,15.4,1.4,15.3,1.0,470000000000,1.2,2012,October
374,2012,6.9S,73.7E,,,,,,38000000000,0.13,2012,September
375,2012,1.2N,52.2W,28.1,18.3,-1.9,14.1,-11.5,244000000000,0.67,2012,September
376,2012,18.9S,105.2E,,,,,,52000000000,0.17,2012,September
377,2012,69.8S,111.7W,23.8,16.9,-10.2,-5.2,12.4,23000000000,0.082,2012,September
378,2012,18.3S,64.2E,38.7,28.9,-8.0,-23.7,-14.5,68000000000,0.22,2012,August
379,2012,11.8N,117.0E,36.0,12.7,5.0,-11.6,-0.7,249000000000,0.68,2012,August
380,2012,,,,,,,,33000000000,0.11,2012,August
381,2012,63.1N,172.3E,27.2,,,,,34000000000,0.12,2012,July
382,2012,36.4N,41.5E,26.8,18.5,0.8,2.0,-18.4,133000000000,0.39,2012,July
383,2012,,,,,,,,24000000000,0.086,2012,June
384,2012,41.8S,36.2W,,,,,,60000000000,0.19,2012,May
385,2012,,,,,,,,211000000000,0.59,2012,May
386,2012,61.8S,135.5W,33.3,17.1,-0.8,1.1,17.0,132000000000,0.39,2012,May
387,2012,76.7N,10.6W,,,,,,229000000000,0.63,2012,May
388,2012,36.2N,107.4E,25.2,,,,,44000000000,0.15,2012,April
389,2012,15.8S,174.8W,,,,,,143000000000,0.42,2012,April
390,2012,5.5N,16.8E,,,,,,30000000000,0.1,2012,April
391,2012,28.1N,95.2W,,,,,,32000000000,0.11,2012,April
392,2012,2.5N,139.8E,25.0,11.8,0.1,-11.8,0.3,99000000000,0.3,2012,March
393,2012,7.8N,2.7E,20.4,,,,,101000000000,0.31,2012,March
394,2012,46.9N,29.8W,,,,,,22000000000,0.079,2012,March
395,2012,22.7S,30.8E,,,,,,37000000000,0.13,2012,February
396,2012,3.2S,39.9W,45.6,,,,,154000000000,0.44,2012,February
397,2012,9.8N,151.8E,,,,,,98000000000,0.3,2012,February
398,2012,31.7S,54.9E,61.0,,,,,140000000000,0.41,2012,February
399,2012,32.4N,0.1E,34.2,12.2,-3.9,10.9,4.0,150000000000,0.43,2012,February
400,2012,64.1S,109.9E,26.3,12.3,-1.9,5.1,11.0,21000000000,0.076,2012,January
401,2012,32.2N,88.5E,,,,,,85000000000,0.26,2012,January
402,2011,30.2S,52.6E,36.1,,,,,135000000000,0.4,2011,December
403,2011,62.9S,89.6E,32.4,,,,,50000000000,0.16,2011,December
404,2011,,,,,,,,29000000000,0.1,2011,December
405,2011,27.9S,116.3E,,,,,,23000000000,0.082,2011,November
406,2011,26.4S,78.4W,,,,,,36000000000,0.12,2011,October
407,2011,19.9S,13.8W,21.3,16.7,-3.7,1.8,16.2,67000000000,0.21,2011,September
408,2011,18.6N,5.1W,,,,,,27000000000,0.095,2011,August
409,2011,27.2S,2.8W,,,,,,23000000000,0.082,2011,August
410,2011,,,,,,,,23000000000,0.082,2011,August
411,2011,,,,,,,,35000000000,0.12,2011,August
412,2011,40.7S,86.7W,63.0,,,,,28000000000,0.098,2011,August
413,2011,45.3S,63.5E,29.6,,,,,44000000000,0.15,2011,July
414,2011,,,,,,,,33000000000,0.11,2011,July
415,2011,29.1N,139.7E,40.7,,,,,65000000000,0.21,2011,July
416,2011,51.7S,175.0E,,,,,,29000000000,0.1,2011,July
417,2011,67.3N,21.4W,40.5,,,,,24000000000,0.086,2011,June
418,2011,4.1N,14.0E,59.0,11.6,-3.4,-10.8,2.4,2280000000000,4.8,2011,May
419,2011,1.2S,92.8E,,,,,,20000000000,0.073,2011,May
420,2011,1.4N,126.6W,28.7,,,,,220000000000,0.61,2011,April
421,2011,,,,,,,,24000000000,0.086,2011,April
422,2011,,,,,,,,24000000000,0.086,2011,April
423,2011,,,,,,,,38000000000,0.13,2011,April
424,2011,71.1N,43.5W,22.2,12.7,3.3,11.8,-3.5,148000000000,0.43,2011,April
425,2011,0.6N,127.5W,59.0,,,,,58000000000,0.19,2011,March
426,2011,,,,,,,,31000000000,0.11,2011,March
427,2011,16.8S,85.6W,,,,,,22000000000,0.079,2011,March
428,2011,53.5N,103.9E,30.6,11.9,-6.7,-1.1,-9.8,37000000000,0.13,2011,March
429,2011,26.3N,43.7E,44.4,18.0,10.3,-14.8,0.1,39000000000,0.13,2011,February
430,2011,7.8N,95.3W,,,,,,20000000000,0.073,2011,February
431,2011,18.9N,44.6W,61.0,,,,,72000000000,0.23,2011,January
432,2011,33.3N,125.8W,48.0,,,,,29000000000,0.1,2011,January
433,2010,38.0N,158.0E,26.0,18.1,18.0,-2.0,-4.0,20000000000000,33.0,2010,December
434,2010,4.9S,175.5E,24.0,,,,,39000000000,0.13,2010,December
435,2010,54.5S,169.7W,66.0,,,,,63000000000,0.2,2010,December
436,2010,72.5S,144.9E,33.3,,,,,133000000000,0.39,2010,December
437,2010,1.9N,143.3E,50.0,,,,,81000000000,0.25,2010,November
438,2010,10.3S,148.8E,30.0,,,,,33000000000,0.11,2010,November
439,2010,74.5N,77.7W,,,,,,68000000000,0.22,2010,November
440,2010,56.3S,16.7W,37.0,,,,,86000000000,0.27,2010,November
441,2010,14.0S,160.0W,26.0,,,,,20000000000,0.073,2010,November
442,2010,14.1S,67.7E,35.2,,,,,145000000000,0.42,2010,October
443,2010,,,,,,,,20000000000,0.073,2010,October
444,2010,67.4S,50.6W,,,,,,50000000000,0.16,2010,September
445,2010,7.4N,36.7E,,,,,,67000000000,0.21,2010,September
446,2010,13.9S,65.5W,46.3,,,,,65000000000,0.21,2010,September
447,2010,25.9S,49.0E,35.2,,,,,683000000000,1.7,2010,September
448,2010,61.0S,146.7E,33.3,12.3,9.8,-3.5,6.5,1750000000000,3.8,2010,September
449,2010,20.7N,114.3W,33.3,,,,,21000000000,0.076,2010,August
450,2010,,,,,,,,28000000000,0.098,2010,August
451,2010,21.5S,46.6E,,,,,,36000000000,0.12,2010,August
452,2010,60.9N,178.1W,,,,,,24000000000,0.086,2010,July
453,2010,34.1S,174.5W,26.0,15.7,12.1,10.0,0.2,7560000000000,14.0,2010,July
454,2010,0.5S,133.2E,50.0,,,,,113000000000,0.34,2010,June
455,2010,22.5S,120.9W,,,,,,163000000000,0.47,2010,June
456,2010,26.1S,100.0E,42.0,,,,,119000000000,0.35,2010,June
457,2010,13.1N,173.0W,,,,,,56000000000,0.18,2010,April
458,2010,1.8N,176.9W,22.2,18.8,12.4,-13.2,-5.2,844000000000,2.0,2010,April
459,2010,52.8N,146.5W,,,,,,80000000000,0.25,2010,April
460,2010,32.4S,51.8W,,,,,,175000000000,0.5,2010,March
461,2010,,,,,,,,80000000000,0.25,2010,March
462,2010,33.8N,90.2W,35.6,,,,,42000000000,0.14,2010,March
463,2010,18.2N,110.1E,53.0,,,,,30000000000,0.1,2010,March
464,2010,32.0N,92.9W,52.0,24.5,19.1,11.0,10.7,323000000000,0.85,2010,March
465,2010,48.7N,21.0E,37.0,15.1,-11.7,2.7,-9.1,153000000000,0.44,2010,February
466,2010,37.3S,166.0W,,,,,,237000000000,0.65,2010,February
467,2010,2.6S,102.2W,,,,,,93000000000,0.28,2010,February
468,2010,8.3S,27.0E,25.0,14.0,-9.1,6.0,8.8,492000000000,1.2,2010,January
469,2009,,,,,,,,83000000000,0.26,2009,December
470,2009,37.9N,178.3W,20.7,,,,,102000000000,0.31,2009,December
471,2009,52.8S,136.5E,,,,,,64000000000,0.2,2009,November
472,2009,22.0S,29.2E,38.0,32.1,3.0,-17.0,27.0,10000000000000,18.0,2009,November
473,2009,,,,,,,,85000000000,0.26,2009,November
474,2009,40.4N,113.2W,31.5,,,,,736000000000,1.8,2009,November
475,2009,,,,,,,,23000000000,0.082,2009,November
476,2009,45.5N,157.7W,,,,,,22000000000,0.079,2009,November
477,2009,24.0N,64.1E,37.0,,,,,42000000000,0.14,2009,November
478,2009,78.3S,70.2E,27.8,,,,,71000000000,0.22,2009,October
479,2009,4.2S,120.6E,19.1,19.2,14.0,-16.0,-6.0,20000000000000,33.0,2009,October
480,2009,36.0S,67.6W,37.0,,,,,89000000000,0.27,2009,September
481,2009,7.7N,29.5W,,,,,,144000000000,0.42,2009,September
482,2009,42.5N,110.0E,28.3,24.0,19.2,-11.6,-8.5,965000000000,2.3,2009,September
483,2009,67.7S,18.3E,34.0,12.2,-6.9,5.3,8.5,280000000000,0.75,2009,August
484,2009,8.9N,121.9W,,,,,,25000000000,0.089,2009,July
485,2009,24.4S,59.8W,32.2,,,,,727000000000,1.8,2009,July
486,2009,,,,,,,,27000000000,0.095,2009,July
487,2009,26.6S,12.6W,26.1,15.2,-11.6,1.6,9.7,32000000000,0.11,2009,June
488,2009,,,,,,,,27000000000,0.095,2009,June
489,2009,23.7S,16.0W,57.4,,,,,33000000000,0.11,2009,June
490,2009,54.9N,152.7W,34.2,,,,,281000000000,0.76,2009,June
491,2009,19.7N,121.0W,,,,,,143000000000,0.42,2009,May
492,2009,,,,,,,,73000000000,0.23,2009,May
493,2009,36.4N,160.4W,40.7,,,,,140000000000,0.41,2009,May
494,2009,6.0N,84.3E,,,,,,22000000000,0.079,2009,April
495,2009,44.7S,25.7E,32.4,19.1,-18.9,2.6,0.3,270000000000,0.73,2009,April
496,2009,21.7S,98.6W,,,,,,32000000000,0.11,2009,March
497,2009,,,,,,,,170000000000,0.48,2009,March
498,2009,,,,,,,,20000000000,0.073,2009,March
499,2009,64.9S,70.0W,,,,,,50000000000,0.16,2009,February
500,2009,56.6N,69.8E,40.0,15.4,-2.4,-1.9,-15.1,1600000000000,3.5,2009,February
501,2009,47.8N,44.3W,,,,,,48000000000,0.16,2009,January
502,2009,64.0S,122.8E,26.5,,,,,23000000000,0.082,2009,January
503,2008,68.9S,102.0W,21.1,24.1,-13.4,18.0,8.8,35000000000,0.12,2008,December
504,2008,7.0S,9.7W,50.0,,,,,216000000000,0.6,2008,December
505,2008,,,,,,,,34000000000,0.12,2008,December
506,2008,57.9S,146.1E,34.8,23.7,21.5,10.0,0.4,146000000000,0.42,2008,November
507,2008,53.1N,109.9W,28.2,12.9,3.9,-4.1,-11.6,142000000000,0.41,2008,November
508,2008,29.4S,75.9E,35.2,22.4,-4.0,-15.2,-16.0,25000000000,0.089,2008,November
509,2008,14.5N,112.7E,29.6,,,,,222000000000,0.61,2008,November
510,2008,32.8N,165.6W,29.6,11.3,9.6,5.8,1.5,46000000000,0.15,2008,October
511,2008,57.3S,17.0E,21.4,,,,,180000000000,0.51,2008,October
512,2008,20.9N,31.4E,38.9,13.3,-9.0,9.0,3.8,395000000000,1.0,2008,October
513,2008,,,,,,,,59000000000,0.19,2008,September
514,2008,11.3N,97.2E,,,,,,131000000000,0.38,2008,August
515,2008,11.6S,175.0W,,,,,,20000000000,0.073,2008,August
516,2008,18.5N,180.0E,45.4,13.8,6.5,-12.1,1.7,41000000000,0.14,2008,August
517,2008,38.6N,68.0E,31.5,14.5,-7.7,-8.2,-9.1,121000000000,0.36,2008,July
518,2008,17.8S,89.2W,54.4,,,,,61000000000,0.2,2008,July
519,2008,,,,,,,,52000000000,0.17,2008,July
520,2008,72.8N,147.3E,52.2,21.7,-12.9,1.9,-17.4,66000000000,0.21,2008,July
521,2008,37.1N,115.7W,36.1,9.8,2.8,1.7,-9.2,36000000000,0.12,2008,July
522,2008,26.9S,17.7W,33.7,23.1,-17.9,13.0,6.6,172000000000,0.49,2008,June
523,2008,6.1N,103.1E,,,,,,21000000000,0.076,2008,June
524,2008,15.7N,83.5W,,,,,,21000000000,0.076,2008,May
525,2008,0.8N,162.0E,37.0,14.2,7.9,3.1,11.4,150000000000,0.43,2008,May
526,2008,46.9N,134.5E,,,,,,21000000000,0.076,2008,May
527,2008,28.0N,41.5W,,,,,,80000000000,0.25,2008,May
528,2008,,,,,,,,57000000000,0.18,2008,May
529,2008,33.6S,35.1W,,,,,,20000000000,0.073,2008,April
530,2008,31.8S,58.5W,,,,,,21000000000,0.076,2008,April
531,2008,,,,,,,,77000000000,0.24,2008,April
532,2008,28.0N,41.5W,26.7,12.9,-4.1,4.8,-11.2,50000000000,0.16,2008,March
533,2008,,,,,,,,74000000000,0.23,2008,February
534,2008,48.9N,119.8W,,,,,,20000000000,0.073,2008,February
535,2008,,,,,,,,50000000000,0.16,2008,February
536,2008,74.9N,73.4W,40.4,13.9,-5.8,-10.7,-6.7,110000000000,0.33,2008,February
537,2008,,,,,,,,71000000000,0.22,2008,February
538,2008,,,,,,,,44000000000,0.15,2008,January
539,2008,66.8S,67.3W,31.5,11.6,4.3,5.7,9.1,41000000000,0.14,2008,January
540,2007,61.6S,158.9W,,,,,,136000000000,0.4,2007,December
541,2007,51.3N,115.4E,,,,,,122000000000,0.36,2007,December
542,2007,40.9S,91.3E,46.3,,,,,58000000000,0.19,2007,October
543,2007,88.5N,116.6E,37.0,18.4,-4.5,-14.1,-10.9,33000000000,0.11,2007,October
544,2007,35.2S,125.6E,,,,,,58000000000,0.19,2007,October
545,2007,49.2S,85.5W,30.2,16.9,-9.2,13.6,3.8,237000000000,0.65,2007,September
546,2007,23.4S,170.9W,35.2,17.0,16.7,-2.1,-2.2,49000000000,0.16,2007,June
547,2007,52.0S,175.3E,38.9,,,,,235000000000,0.65,2007,June
548,2007,21.9N,53.1E,29.6,,,,,31000000000,0.11,2007,June
549,2007,4.5S,111.7E,,,,,,38000000000,0.13,2007,May
550,2007,42.4S,164.0E,31.5,,,,,400000000000,1.0,2007,May
551,2007,22.9N,109.4E,48.0,,,,,175000000000,0.5,2007,May
552,2007,83.7S,171.2W,38.0,24.4,-5.3,-2.5,23.7,112000000000,0.33,2007,April
553,2007,,,,,,,,24000000000,0.086,2007,April
554,2007,7.1N,4.1E,32.5,14.5,-7.3,-1.9,-12.4,40000000000,0.13,2007,March
555,2007,44.1S,148.4W,,,,,,25000000000,0.089,2007,March
556,2007,,,,,,,,27000000000,0.095,2007,March
557,2007,24.0N,37.2W,35.5,,,,,340000000000,0.89,2007,February
558,2007,3.7N,99.7E,,,,,,147000000000,0.43,2007,January
559,2007,45.4N,53.5E,32.0,13.4,-3.3,-12.8,-1.9,76000000000,0.24,2007,January
560,2007,5.3N,164.3W,34.1,,,,,32000000000,0.11,2007,January
561,2007,8.7S,50.8E,33.3,,,,,548000000000,1.4,2007,January
562,2007,44.4N,116.5E,53.0,,,,,36000000000,0.12,2007,January
563,2006,26.2N,26.0E,26.5,15.9,4.9,-15.0,1.6,7410000000000,14.0,2006,December
564,2006,14.0N,140.0W,,,,,,21000000000,0.076,2006,December
565,2006,13.0S,30.7E,,,,,,63000000000,0.2,2006,December
566,2006,44.0S,43.3E,,,,,,23000000000,0.082,2006,November
567,2006,1.9S,2.7W,43.0,,,,,225000000000,0.62,2006,October
568,2006,49.4N,175.0W,44.4,23.9,4.9,23.4,-1.0,258000000000,0.7,2006,October
569,2006,47.0S,78.9E,22.2,,,,,41000000000,0.14,2006,October
570,2006,23.0S,61.8W,40.7,,,,,41000000000,0.14,2006,October
571,2006,14.0N,53.1E,42.0,,,,,90000000000,0.28,2006,October
572,2006,32.0S,60.2E,48.1,,,,,107000000000,0.32,2006,September
573,2006,29.0S,108.0W,,,,,,121000000000,0.36,2006,September
574,2006,,,,,,,,22000000000,0.079,2006,September
575,2006,14.0S,109.1E,44.1,14.2,10.0,-9.9,1.5,1230000000000,2.8,2006,September
576,2006,44.0S,162.0W,40.7,,,,,92000000000,0.28,2006,August
577,2006,43.0S,33.4E,47.2,,,,,32000000000,0.11,2006,August
578,2006,11.0S,165.7E,48.2,,,,,256000000000,0.7,2006,August
579,2006,4.9N,49.6E,32.7,,,,,47000000000,0.16,2006,August
580,2006,23.1S,53.7E,37.0,,,,,1020000000000,2.4,2006,August
581,2006,78.3S,5.0W,29.6,12.4,0.1,2.0,12.2,85000000000,0.26,2006,July
582,2006,31.1N,45.6E,38.9,30.2,9.2,-1.2,-28.7,163000000000,0.47,2006,July
583,2006,69.2N,22.5E,40.7,19.6,6.1,4.6,-18.0,59000000000,0.19,2006,June
584,2006,,,,,,,,26000000000,0.092,2006,May
585,2006,11.6S,25.5W,,,,,,263000000000,0.71,2006,May
586,2006,,,,,,,,30000000000,0.1,2006,May
587,2006,60.2S,152.3W,35.2,,,,,128000000000,0.38,2006,May
588,2006,,,,,,,,20000000000,0.073,2006,April
589,2006,17.3N,113.2W,33.3,,,,,127000000000,0.37,2006,April
590,2006,26.6N,26.6W,25.0,,,,,2400000000000,5.0,2006,April
591,2006,7.0N,64.6W,35.2,,,,,144000000000,0.42,2006,March
592,2006,,,,,,,,70000000000,0.22,2006,February
593,2006,54.5S,18.1E,35.2,,,,,1190000000000,2.7,2006,February
594,2006,36.9N,143.6W,38.9,19.8,-8.8,3.4,-17.4,100000000000,0.3,2006,February
595,2006,51.7S,56.4E,37.0,18.7,8.4,-16.4,3.2,740000000000,1.8,2006,January
596,2006,58.7N,74.7E,20.0,,,,,45000000000,0.15,2006,January
597,2006,79.8S,111.0W,37.0,,,,,53000000000,0.17,2006,January
598,2006,29.8N,12.7W,32.4,16.9,-9.9,-6.3,-12.2,28000000000,0.098,2006,January
599,2006,7.6N,28.2W,,,,,,94000000000,0.29,2006,January
600,2005,3.0S,154.9W,42.2,20.7,18.6,8.5,3.2,190000000000,0.53,2005,December
601,2005,54.0S,17.3E,66.0,,,,,181000000000,0.51,2005,December
602,2005,33.8S,117.4E,32.2,17.0,-12.1,-9.6,7.2,88000000000,0.27,2005,December
603,2005,6.4S,155.8W,,,,,,32000000000,0.11,2005,December
604,2005,7.6N,58.2W,59.3,,,,,32000000000,0.11,2005,November
605,2005,26.3N,113.4W,32.4,,,,,25000000000,0.089,2005,November
606,2005,21.4N,134.1W,29.6,,,,,42000000000,0.14,2005,November
607,2005,31.0S,145.9E,30.7,13.8,13.5,-2.7,-0.7,73000000000,0.23,2005,November
608,2005,33.9N,154.9W,68.5,,,,,32000000000,0.11,2005,November
609,2005,22.9N,123.8W,74.0,,,,,67000000000,0.21,2005,November
610,2005,36.3S,80.5W,16.7,,,,,138000000000,0.4,2005,October
611,2005,2.8S,84.1W,53.0,,,,,22000000000,0.079,2005,September
612,2005,11.6N,27.3E,33.3,,,,,25000000000,0.089,2005,September
613,2005,13.5N,73.1E,,,,,,82000000000,0.25,2005,September
614,2005,,,,,,,,27000000000,0.095,2005,August
615,2005,21.5S,56.2E,37.0,16.9,-16.3,4.3,1.4,25000000000,0.089,2005,August
616,2005,49.8S,33.1E,50.0,,,,,31000000000,0.11,2005,July
617,2005,47.9N,85.6E,,,,,,23000000000,0.082,2005,June
618,2005,34.8N,90.9E,,,,,,41000000000,0.14,2005,June
619,2005,31.0S,90.3W,29.6,26.2,-1.5,25.3,6.7,82000000000,0.25,2005,June
620,2005,48.9S,145.1E,50.5,,,,,20000000000,0.073,2005,May
621,2005,,,,,,,,129000000000,0.38,2005,May
622,2005,75.8S,163.7E,15.2,16.6,9.6,-9.7,9.4,26000000000,0.092,2005,May
623,2005,17.7N,36.0E,,,,,,46000000000,0.15,2005,May
624,2005,20.9N,36.7W,37.0,,,,,22000000000,0.079,2005,April
625,2005,50.2S,146.4W,38.5,16.8,9.3,13.8,2.5,232000000000,0.64,2005,April
626,2005,,,,,,,,20000000000,0.073,2005,April
627,2005,43.8S,73.9W,39.0,,,,,21000000000,0.076,2005,April
628,2005,4.9N,176.0W,26.5,,,,,71000000000,0.22,2005,April
629,2005,34.2S,95.7W,37.0,,,,,106000000000,0.32,2005,April
630,2005,42.7S,154.6E,70.0,,,,,29000000000,0.1,2005,April
631,2005,,,,,,,,35000000000,0.12,2005,April
632,2005,1.0S,112.4E,59.2,,,,,219000000000,0.61,2005,April
633,2005,14.1N,169.7E,27.2,,,,,204000000000,0.57,2005,April
634,2005,42.8N,36.2W,,,,,,38000000000,0.13,2005,March
635,2005,9.7S,34.7W,33.0,,,,,27000000000,0.095,2005,March
636,2005,,,,,,,,22000000000,0.079,2005,March
637,2005,21.4S,157.9W,44.4,,,,,53000000000,0.17,2005,March
638,2005,14.3N,142.7E,30.7,,,,,40000000000,0.13,2005,March
639,2005,,,,,,,,55000000000,0.18,2005,March
640,2005,,,,,,,,41000000000,0.14,2005,February
641,2005,48.0N,161.5W,42.5,,,,,100000000000,0.3,2005,February
642,2005,27.5S,164.9W,40.7,,,,,141000000000,0.41,2005,January
643,2005,21.3S,154.7E,35.2,21.5,20.2,-3.3,6.6,119000000000,0.35,2005,January
644,2005,32.7N,12.4E,31.8,,,,,454000000000,1.2,2005,January
645,2004,8.5S,171.8E,,,,,,90000000000,0.28,2004,December
646,2004,9.7S,155.3E,,,,,,39000000000,0.13,2004,December
647,2004,36.0N,104.1E,,,,,,30000000000,0.1,2004,December
648,2004,61.0N,171.0W,,,,,,181000000000,0.51,2004,November
649,2004,,,,,,,,186000000000,0.52,2004,November
650,2004,,,,,,,,93000000000,0.28,2004,October
651,2004,,,,,,,,30000000000,0.1,2004,October
652,2004,27.3S,71.5E,35.0,19.2,-15.3,1.0,11.6,10400000000000,18.0,2004,October
653,2004,3.7N,150.9W,,,,,,71000000000,0.22,2004,October
654,2004,0.2N,101.1W,,,,,,62000000000,0.2,2004,September
655,2004,67.7S,18.2E,31.5,,,,,7260000000000,13.0,2004,September
656,2004,51.9S,22.7E,37.0,,,,,1440000000000,3.2,2004,August
657,2004,,,,,,,,25000000000,0.089,2004,July
658,2004,,,,,,,,197000000000,0.55,2004,July
659,2004,,,,,,,,35000000000,0.12,2004,July
660,2004,,,,,,,,29000000000,0.1,2004,July
661,2004,,,,,,,,79000000000,0.25,2004,July
662,2004,,,,,,,,65000000000,0.21,2004,July
663,2004,21.7N,175.3E,,,,,,104000000000,0.31,2004,June
664,2004,,,,,,,,104000000000,0.31,2004,June
665,2004,1.3N,174.4W,43.0,19.5,9.4,17.0,-1.5,1810000000000,3.9,2004,June
666,2004,,,,,,,,339000000000,0.89,2004,June
667,2004,,,,,,,,47000000000,0.16,2004,June
668,2004,48.9N,120.4W,,,,,,54000000000,0.18,2004,June
669,2004,28.1S,47.4W,,,,,,394000000000,1.0,2004,May
670,2004,18.9S,28.3E,44.0,,,,,55000000000,0.18,2004,May
671,2004,,,,,,,,49000000000,0.16,2004,May
672,2004,,,,,,,,56000000000,0.18,2004,April
673,2004,15.2S,55.1E,,,,,,139000000000,0.41,2004,April
674,2004,44.3S,83.3E,29.6,16.3,8.5,-12.1,-6.8,624000000000,1.5,2004,April
675,2004,12.0S,162.8E,35.0,25.6,10.5,-23.2,-2.9,433000000000,1.1,2004,April
